Heartbeat,Hours_Worked,Weather,Location,Recommendation
59,4,Cloudy,Rural,Meditation
96,13,Sunny,Urban,Public Interaction
100,9,Snowy,Suburban,Meditation
94,5,Snowy,Suburban,Meditation
87,8,Rainy,Rural,Walk
73,10,Rainy,Urban,Public Interaction
89,12,Cloudy,Rural,Meditation
80,9,Sunny,Rural,Meditation
108,7,Snowy,Suburban,Meditation
55,13,Cloudy,Rural,Meditation
92,5,Snowy,Urban,Public Interaction
76,4,Cloudy,Suburban,Meditation
74,10,Sunny,Rural,Meditation
74,7,Cloudy,Suburban,Meditation
79,13,Snowy,Rural,Meditation
78,9,Cloudy,Suburban,Meditation
52,5,Snowy,Suburban,Meditation
66,5,Sunny,Suburban,Meditation
88,13,Sunny,Rural,Meditation
99,7,Rainy,Rural,Walk
109,6,Cloudy,Urban,Public Interaction
58,7,Cloudy,Rural,Meditation
86,11,Sunny,Rural,Meditation
57,11,Rainy,Rural,Walk
58,13,Snowy,Suburban,Meditation
105,11,Sunny,Urban,Public Interaction
99,4,Sunny,Rural,Meditation
81,13,Rainy,Suburban,Walk
109,12,Sunny,Suburban,Reflection
93,4,Sunny,Urban,Public Interaction
104,12,Cloudy,Urban,Public Interaction
54,10,Snowy,Urban,Public Interaction
84,13,Sunny,Urban,Public Interaction
98,4,Sunny,Rural,Meditation
78,11,Snowy,Urban,Public Interaction
62,6,Cloudy,Urban,Public Interaction
58,5,Rainy,Rural,Walk
65,4,Cloudy,Rural,Meditation
63,7,Sunny,Rural,Meditation
78,12,Sunny,Suburban,Meditation
56,4,Sunny,Urban,Public Interaction
86,13,Sunny,Suburban,Meditation
63,7,Cloudy,Rural,Meditation
60,9,Sunny,Urban,Public Interaction
101,4,Sunny,Urban,Public Interaction
94,11,Rainy,Suburban,Walk
51,13,Cloudy,Suburban,Meditation
108,12,Sunny,Rural,Reflection
105,4,Sunny,Rural,Meditation
55,10,Rainy,Rural,Walk
71,6,Sunny,Rural,Meditation
75,10,Sunny,Suburban,Meditation
74,6,Sunny,Suburban,Meditation
60,12,Sunny,Urban,Public Interaction
72,13,Sunny,Suburban,Meditation
76,10,Sunny,Urban,Public Interaction
60,12,Rainy,Urban,Public Interaction
54,12,Sunny,Rural,Meditation
59,7,Cloudy,Urban,Public Interaction
55,12,Sunny,Urban,Public Interaction
51,11,Snowy,Urban,Public Interaction
89,4,Sunny,Urban,Public Interaction
70,8,Sunny,Rural,Meditation
108,8,Sunny,Urban,Public Interaction
63,4,Cloudy,Suburban,Meditation
59,8,Rainy,Suburban,Walk
62,13,Rainy,Suburban,Walk
88,8,Sunny,Rural,Meditation
97,8,Sunny,Suburban,Meditation
104,4,Sunny,Urban,Public Interaction
103,9,Sunny,Rural,Meditation
71,8,Rainy,Urban,Public Interaction
85,13,Sunny,Rural,Meditation
94,6,Rainy,Suburban,Walk
96,6,Rainy,Urban,Public Interaction
93,4,Rainy,Rural,Walk
74,11,Rainy,Suburban,Walk
87,10,Cloudy,Suburban,Meditation
66,6,Snowy,Rural,Meditation
53,11,Sunny,Rural,Meditation
55,12,Cloudy,Suburban,Meditation
61,8,Cloudy,Rural,Meditation
94,11,Sunny,Suburban,Reflection
86,10,Sunny,Urban,Public Interaction
50,5,Sunny,Suburban,Meditation
71,8,Rainy,Suburban,Walk
103,11,Sunny,Urban,Public Interaction
81,6,Snowy,Rural,Meditation
76,12,Sunny,Suburban,Meditation
96,8,Sunny,Urban,Public Interaction
103,12,Cloudy,Rural,Reflection
50,8,Sunny,Rural,Meditation
108,7,Rainy,Suburban,Walk
61,8,Cloudy,Urban,Public Interaction
73,8,Cloudy,Urban,Public Interaction
108,6,Rainy,Suburban,Walk
84,11,Sunny,Rural,Meditation
71,12,Cloudy,Rural,Meditation
75,11,Snowy,Suburban,Meditation
67,4,Sunny,Rural,Meditation
71,5,Cloudy,Rural,Meditation
67,13,Sunny,Rural,Meditation
92,12,Snowy,Rural,Reflection
103,11,Rainy,Rural,Walk
98,12,Rainy,Urban,Public Interaction
70,10,Sunny,Suburban,Meditation
104,13,Sunny,Rural,Reflection
58,9,Snowy,Suburban,Meditation
84,11,Sunny,Urban,Public Interaction
107,7,Snowy,Suburban,Meditation
66,8,Snowy,Urban,Public Interaction
82,7,Rainy,Suburban,Walk
63,5,Sunny,Suburban,Meditation
100,5,Sunny,Suburban,Meditation
57,5,Sunny,Urban,Public Interaction
86,6,Rainy,Suburban,Walk
102,10,Sunny,Rural,Meditation
71,12,Sunny,Urban,Public Interaction
97,4,Rainy,Rural,Walk
52,4,Cloudy,Urban,Public Interaction
72,11,Sunny,Urban,Public Interaction
81,11,Cloudy,Urban,Public Interaction
96,10,Snowy,Suburban,Meditation
61,4,Cloudy,Suburban,Meditation
70,4,Rainy,Rural,Walk
81,8,Cloudy,Urban,Public Interaction
85,5,Sunny,Rural,Meditation
57,7,Cloudy,Suburban,Meditation
56,10,Snowy,Urban,Public Interaction
77,7,Cloudy,Urban,Public Interaction
51,4,Sunny,Urban,Public Interaction
84,5,Sunny,Rural,Meditation
95,12,Sunny,Urban,Public Interaction
100,6,Sunny,Urban,Public Interaction
103,5,Sunny,Rural,Meditation
67,7,Sunny,Rural,Meditation
99,9,Sunny,Urban,Public Interaction
82,6,Sunny,Urban,Public Interaction
87,13,Rainy,Urban,Public Interaction
100,6,Snowy,Rural,Meditation
105,6,Cloudy,Urban,Public Interaction
106,4,Sunny,Urban,Public Interaction
103,13,Sunny,Suburban,Reflection
88,6,Sunny,Urban,Public Interaction
98,10,Rainy,Urban,Public Interaction
54,12,Cloudy,Urban,Public Interaction
54,10,Cloudy,Suburban,Meditation
80,10,Sunny,Suburban,Meditation
104,13,Rainy,Urban,Public Interaction
56,5,Sunny,Rural,Meditation
102,13,Cloudy,Suburban,Reflection
88,9,Rainy,Suburban,Walk
85,8,Rainy,Suburban,Walk
108,5,Cloudy,Rural,Meditation
57,11,Sunny,Suburban,Meditation
71,9,Sunny,Suburban,Meditation
51,5,Sunny,Suburban,Meditation
106,7,Rainy,Rural,Walk
109,6,Rainy,Rural,Walk
109,13,Rainy,Urban,Public Interaction
102,13,Sunny,Rural,Reflection
79,5,Rainy,Suburban,Walk
90,8,Cloudy,Suburban,Meditation
63,7,Sunny,Suburban,Meditation
65,11,Sunny,Urban,Public Interaction
98,9,Snowy,Rural,Meditation
64,11,Sunny,Urban,Public Interaction
56,13,Snowy,Urban,Public Interaction
90,11,Sunny,Suburban,Meditation
93,13,Sunny,Suburban,Reflection
104,7,Rainy,Rural,Walk
55,9,Sunny,Suburban,Meditation
89,13,Snowy,Suburban,Meditation
100,4,Cloudy,Urban,Public Interaction
60,5,Sunny,Rural,Meditation
61,5,Rainy,Suburban,Walk
97,12,Sunny,Suburban,Reflection
51,10,Sunny,Suburban,Meditation
72,4,Sunny,Suburban,Meditation
54,9,Sunny,Urban,Public Interaction
56,9,Sunny,Rural,Meditation
50,9,Sunny,Suburban,Meditation
98,7,Sunny,Suburban,Meditation
103,7,Sunny,Suburban,Meditation
109,4,Cloudy,Urban,Public Interaction
53,10,Sunny,Rural,Meditation
75,9,Snowy,Urban,Public Interaction
93,7,Sunny,Rural,Meditation
73,6,Snowy,Urban,Public Interaction
53,5,Snowy,Rural,Meditation
88,7,Snowy,Rural,Meditation
50,8,Cloudy,Suburban,Meditation
77,8,Sunny,Urban,Public Interaction
106,8,Rainy,Rural,Walk
106,7,Sunny,Suburban,Meditation
73,13,Sunny,Suburban,Meditation
51,9,Cloudy,Urban,Public Interaction
102,11,Sunny,Rural,Reflection
70,4,Snowy,Urban,Public Interaction
68,13,Sunny,Rural,Meditation
57,11,Sunny,Rural,Meditation
57,8,Rainy,Rural,Walk
57,4,Rainy,Suburban,Walk
61,8,Sunny,Suburban,Meditation
83,12,Sunny,Suburban,Meditation
103,5,Sunny,Urban,Public Interaction
79,8,Cloudy,Urban,Public Interaction
64,11,Rainy,Suburban,Walk
55,7,Cloudy,Urban,Public Interaction
75,13,Sunny,Urban,Public Interaction
100,11,Cloudy,Suburban,Reflection
95,12,Cloudy,Suburban,Reflection
59,10,Sunny,Urban,Public Interaction
103,8,Sunny,Rural,Meditation
87,10,Sunny,Suburban,Meditation
87,4,Sunny,Suburban,Meditation
100,4,Rainy,Suburban,Walk
64,8,Rainy,Urban,Public Interaction
74,13,Sunny,Rural,Meditation
65,5,Sunny,Urban,Public Interaction
106,10,Sunny,Urban,Public Interaction
103,7,Sunny,Rural,Meditation
72,6,Sunny,Rural,Meditation
100,11,Sunny,Rural,Reflection
75,4,Sunny,Urban,Public Interaction
73,7,Rainy,Rural,Walk
52,8,Rainy,Rural,Walk
86,12,Sunny,Urban,Public Interaction
106,8,Rainy,Urban,Public Interaction
56,4,Sunny,Suburban,Meditation
50,12,Cloudy,Suburban,Meditation
62,13,Cloudy,Rural,Meditation
53,4,Cloudy,Suburban,Meditation
73,9,Rainy,Suburban,Walk
72,7,Sunny,Suburban,Meditation
65,4,Cloudy,Suburban,Meditation
102,9,Snowy,Suburban,Meditation
100,4,Sunny,Rural,Meditation
94,9,Rainy,Suburban,Walk
78,10,Snowy,Rural,Meditation
96,5,Sunny,Suburban,Meditation
82,13,Cloudy,Suburban,Meditation
76,13,Sunny,Suburban,Meditation
103,5,Cloudy,Rural,Meditation
102,8,Sunny,Suburban,Meditation
57,9,Sunny,Rural,Meditation
50,10,Cloudy,Rural,Meditation
52,4,Cloudy,Suburban,Meditation
74,7,Cloudy,Suburban,Meditation
92,5,Snowy,Urban,Public Interaction
50,9,Sunny,Rural,Meditation
78,5,Sunny,Urban,Public Interaction
74,11,Rainy,Suburban,Walk
108,11,Rainy,Rural,Walk
99,8,Cloudy,Rural,Meditation
60,11,Sunny,Urban,Public Interaction
71,13,Rainy,Suburban,Walk
83,6,Cloudy,Urban,Public Interaction
88,13,Rainy,Rural,Walk
80,11,Snowy,Rural,Meditation
51,4,Snowy,Suburban,Meditation
103,8,Sunny,Suburban,Meditation
50,8,Sunny,Rural,Meditation
107,11,Cloudy,Urban,Public Interaction
80,8,Cloudy,Urban,Public Interaction
108,13,Cloudy,Suburban,Reflection
77,11,Sunny,Suburban,Meditation
74,6,Cloudy,Urban,Public Interaction
101,5,Rainy,Urban,Public Interaction
52,9,Sunny,Suburban,Meditation
96,4,Cloudy,Rural,Meditation
85,6,Sunny,Suburban,Meditation
60,7,Sunny,Suburban,Meditation
54,8,Rainy,Urban,Public Interaction
81,10,Rainy,Urban,Public Interaction
104,7,Rainy,Suburban,Walk
85,7,Sunny,Suburban,Meditation
95,9,Snowy,Suburban,Meditation
69,4,Rainy,Rural,Walk
67,4,Rainy,Suburban,Walk
103,4,Snowy,Rural,Meditation
58,5,Cloudy,Urban,Public Interaction
50,11,Sunny,Urban,Public Interaction
74,7,Sunny,Suburban,Meditation
95,6,Rainy,Urban,Public Interaction
94,11,Sunny,Suburban,Reflection
70,7,Sunny,Urban,Public Interaction
51,13,Sunny,Urban,Public Interaction
105,13,Cloudy,Rural,Reflection
99,7,Cloudy,Rural,Meditation
53,6,Sunny,Urban,Public Interaction
52,6,Cloudy,Rural,Meditation
71,7,Sunny,Suburban,Meditation
70,13,Rainy,Urban,Public Interaction
74,9,Cloudy,Suburban,Meditation
87,11,Snowy,Urban,Public Interaction
103,12,Rainy,Suburban,Walk
76,13,Snowy,Suburban,Meditation
52,7,Sunny,Rural,Meditation
85,11,Sunny,Rural,Meditation
57,12,Cloudy,Suburban,Meditation
103,13,Sunny,Suburban,Reflection
64,9,Sunny,Urban,Public Interaction
94,11,Sunny,Rural,Reflection
65,5,Sunny,Rural,Meditation
79,9,Sunny,Urban,Public Interaction
50,8,Sunny,Rural,Meditation
66,13,Cloudy,Rural,Meditation
74,13,Snowy,Urban,Public Interaction
105,5,Sunny,Suburban,Meditation
70,11,Sunny,Suburban,Meditation
52,10,Sunny,Suburban,Meditation
83,12,Rainy,Urban,Public Interaction
92,8,Cloudy,Urban,Public Interaction
62,9,Sunny,Suburban,Meditation
76,6,Sunny,Rural,Meditation
77,4,Rainy,Suburban,Walk
66,13,Snowy,Suburban,Meditation
54,6,Cloudy,Urban,Public Interaction
92,5,Cloudy,Urban,Public Interaction
58,10,Sunny,Urban,Public Interaction
97,10,Sunny,Suburban,Meditation
93,6,Sunny,Rural,Meditation
91,9,Sunny,Urban,Public Interaction
90,9,Sunny,Urban,Public Interaction
50,13,Rainy,Rural,Walk
56,12,Sunny,Suburban,Meditation
105,11,Rainy,Urban,Public Interaction
89,8,Sunny,Rural,Meditation
87,7,Rainy,Urban,Public Interaction
76,6,Cloudy,Rural,Meditation
76,13,Snowy,Suburban,Meditation
71,12,Sunny,Suburban,Meditation
59,8,Sunny,Suburban,Meditation
62,10,Sunny,Rural,Meditation
66,10,Rainy,Rural,Walk
54,4,Sunny,Suburban,Meditation
108,5,Sunny,Urban,Public Interaction
52,5,Sunny,Suburban,Meditation
93,11,Sunny,Suburban,Reflection
62,9,Sunny,Suburban,Meditation
73,7,Sunny,Suburban,Meditation
92,8,Cloudy,Rural,Meditation
106,12,Sunny,Rural,Reflection
92,13,Cloudy,Urban,Public Interaction
99,11,Sunny,Rural,Reflection
75,7,Snowy,Urban,Public Interaction
105,12,Cloudy,Rural,Reflection
107,5,Sunny,Rural,Meditation
52,7,Rainy,Rural,Walk
103,4,Sunny,Urban,Public Interaction
67,9,Cloudy,Urban,Public Interaction
71,11,Sunny,Rural,Meditation
107,13,Rainy,Rural,Walk
77,11,Sunny,Urban,Public Interaction
70,13,Cloudy,Rural,Meditation
95,10,Sunny,Suburban,Meditation
52,12,Rainy,Urban,Public Interaction
107,4,Sunny,Rural,Meditation
86,6,Snowy,Urban,Public Interaction
107,13,Sunny,Suburban,Reflection
96,11,Cloudy,Rural,Reflection
81,11,Cloudy,Urban,Public Interaction
50,9,Sunny,Urban,Public Interaction
54,4,Rainy,Suburban,Walk
81,6,Sunny,Rural,Meditation
60,6,Sunny,Urban,Public Interaction
51,9,Sunny,Rural,Meditation
56,6,Sunny,Suburban,Meditation
96,4,Snowy,Suburban,Meditation
71,5,Sunny,Rural,Meditation
70,4,Cloudy,Rural,Meditation
84,12,Sunny,Suburban,Meditation
56,6,Sunny,Suburban,Meditation
56,7,Sunny,Suburban,Meditation
105,4,Rainy,Rural,Walk
70,13,Sunny,Suburban,Meditation
106,6,Sunny,Rural,Meditation
52,12,Cloudy,Suburban,Meditation
98,4,Rainy,Rural,Walk
77,9,Sunny,Urban,Public Interaction
80,11,Sunny,Urban,Public Interaction
82,9,Rainy,Urban,Public Interaction
63,4,Sunny,Suburban,Meditation
68,9,Rainy,Urban,Public Interaction
91,12,Sunny,Suburban,Reflection
107,6,Rainy,Rural,Walk
88,7,Rainy,Rural,Walk
91,12,Sunny,Urban,Public Interaction
79,7,Sunny,Urban,Public Interaction
72,4,Sunny,Suburban,Meditation
78,5,Rainy,Urban,Public Interaction
69,9,Rainy,Urban,Public Interaction
50,11,Sunny,Suburban,Meditation
88,5,Rainy,Urban,Public Interaction
61,5,Rainy,Suburban,Walk
79,6,Sunny,Urban,Public Interaction
100,11,Sunny,Urban,Public Interaction
80,4,Sunny,Suburban,Meditation
97,11,Snowy,Urban,Public Interaction
65,12,Cloudy,Rural,Meditation
64,6,Sunny,Suburban,Meditation
75,10,Sunny,Suburban,Meditation
97,12,Rainy,Urban,Public Interaction
105,11,Sunny,Urban,Public Interaction
82,13,Sunny,Suburban,Meditation
96,5,Sunny,Urban,Public Interaction
108,9,Sunny,Suburban,Meditation
53,9,Sunny,Urban,Public Interaction
97,4,Sunny,Suburban,Meditation
107,13,Sunny,Rural,Reflection
53,8,Rainy,Urban,Public Interaction
97,6,Cloudy,Urban,Public Interaction
84,8,Rainy,Urban,Public Interaction
59,5,Cloudy,Rural,Meditation
109,7,Sunny,Rural,Meditation
108,9,Sunny,Urban,Public Interaction
79,10,Cloudy,Suburban,Meditation
77,5,Snowy,Suburban,Meditation
88,5,Sunny,Suburban,Meditation
74,9,Sunny,Suburban,Meditation
72,13,Rainy,Urban,Public Interaction
92,6,Rainy,Urban,Public Interaction
62,4,Sunny,Urban,Public Interaction
60,5,Rainy,Urban,Public Interaction
105,4,Rainy,Rural,Walk
56,8,Snowy,Suburban,Meditation
71,8,Sunny,Suburban,Meditation
62,4,Sunny,Urban,Public Interaction
100,12,Snowy,Urban,Public Interaction
58,11,Rainy,Suburban,Walk
92,7,Sunny,Suburban,Meditation
101,10,Sunny,Urban,Public Interaction
74,9,Snowy,Rural,Meditation
71,9,Sunny,Suburban,Meditation
74,6,Sunny,Rural,Meditation
55,6,Cloudy,Suburban,Meditation
99,5,Sunny,Urban,Public Interaction
61,12,Rainy,Suburban,Walk
59,8,Sunny,Suburban,Meditation
50,11,Sunny,Rural,Meditation
90,7,Cloudy,Suburban,Meditation
77,6,Snowy,Rural,Meditation
84,11,Sunny,Suburban,Meditation
90,5,Sunny,Urban,Public Interaction
69,6,Rainy,Suburban,Walk
62,5,Sunny,Urban,Public Interaction
106,10,Cloudy,Urban,Public Interaction
101,9,Sunny,Urban,Public Interaction
85,12,Cloudy,Urban,Public Interaction
85,10,Rainy,Urban,Public Interaction
101,13,Cloudy,Suburban,Reflection
79,13,Sunny,Urban,Public Interaction
84,11,Snowy,Suburban,Meditation
64,8,Sunny,Urban,Public Interaction
65,8,Cloudy,Suburban,Meditation
61,13,Sunny,Urban,Public Interaction
84,9,Rainy,Rural,Walk
69,4,Sunny,Urban,Public Interaction
74,6,Cloudy,Urban,Public Interaction
70,9,Rainy,Urban,Public Interaction
52,4,Sunny,Rural,Meditation
109,12,Sunny,Urban,Public Interaction
78,4,Sunny,Urban,Public Interaction
78,7,Rainy,Urban,Public Interaction
62,4,Sunny,Urban,Public Interaction
109,9,Sunny,Rural,Meditation
88,7,Cloudy,Suburban,Meditation
96,9,Sunny,Rural,Meditation
70,12,Sunny,Rural,Meditation
97,13,Cloudy,Suburban,Reflection
105,5,Sunny,Rural,Meditation
86,13,Cloudy,Rural,Meditation
80,13,Sunny,Rural,Meditation
61,9,Sunny,Rural,Meditation
78,13,Snowy,Rural,Meditation
56,4,Rainy,Urban,Public Interaction
65,12,Cloudy,Rural,Meditation
85,10,Rainy,Suburban,Walk
79,12,Sunny,Rural,Meditation
67,13,Sunny,Suburban,Meditation
51,4,Cloudy,Urban,Public Interaction
94,12,Rainy,Suburban,Walk
63,5,Sunny,Urban,Public Interaction
103,9,Rainy,Rural,Walk
59,8,Rainy,Urban,Public Interaction
94,9,Sunny,Urban,Public Interaction
89,4,Snowy,Suburban,Meditation
63,8,Cloudy,Urban,Public Interaction
104,11,Cloudy,Rural,Reflection
84,9,Rainy,Rural,Walk
75,9,Sunny,Urban,Public Interaction
54,5,Sunny,Suburban,Meditation
51,4,Rainy,Urban,Public Interaction
70,13,Sunny,Rural,Meditation
54,6,Cloudy,Suburban,Meditation
50,9,Sunny,Suburban,Meditation
100,5,Cloudy,Rural,Meditation
101,12,Rainy,Rural,Walk
80,10,Rainy,Suburban,Walk
101,11,Sunny,Suburban,Reflection
95,7,Sunny,Urban,Public Interaction
102,4,Sunny,Rural,Meditation
55,5,Sunny,Rural,Meditation
51,13,Rainy,Suburban,Walk
106,9,Sunny,Rural,Meditation
90,7,Rainy,Suburban,Walk
105,4,Rainy,Rural,Walk
59,10,Rainy,Urban,Public Interaction
108,10,Cloudy,Suburban,Meditation
81,5,Rainy,Rural,Walk
91,9,Snowy,Suburban,Meditation
81,13,Snowy,Urban,Public Interaction
92,11,Sunny,Suburban,Reflection
81,9,Rainy,Urban,Public Interaction
96,7,Sunny,Suburban,Meditation
95,13,Sunny,Urban,Public Interaction
88,12,Cloudy,Suburban,Meditation
91,5,Rainy,Urban,Public Interaction
54,8,Sunny,Rural,Meditation
103,13,Snowy,Suburban,Reflection
89,4,Sunny,Rural,Meditation
93,13,Sunny,Urban,Public Interaction
106,13,Sunny,Suburban,Reflection
59,13,Sunny,Rural,Meditation
82,13,Snowy,Urban,Public Interaction
67,11,Sunny,Urban,Public Interaction
84,6,Sunny,Rural,Meditation
71,11,Rainy,Rural,Walk
64,11,Snowy,Rural,Meditation
86,11,Sunny,Urban,Public Interaction
101,13,Sunny,Urban,Public Interaction
70,6,Sunny,Rural,Meditation
93,6,Sunny,Urban,Public Interaction
73,5,Rainy,Suburban,Walk
54,5,Rainy,Rural,Walk
69,9,Cloudy,Suburban,Meditation
71,8,Cloudy,Suburban,Meditation
75,12,Sunny,Urban,Public Interaction
57,8,Rainy,Rural,Walk
56,13,Cloudy,Rural,Meditation
86,8,Sunny,Urban,Public Interaction
78,9,Sunny,Suburban,Meditation
59,6,Rainy,Rural,Walk
50,8,Sunny,Suburban,Meditation
62,5,Rainy,Rural,Walk
51,7,Sunny,Urban,Public Interaction
92,13,Sunny,Rural,Reflection
109,12,Snowy,Rural,Reflection
81,5,Snowy,Rural,Meditation
93,9,Cloudy,Suburban,Meditation
107,7,Cloudy,Suburban,Meditation
104,9,Sunny,Urban,Public Interaction
76,9,Rainy,Rural,Walk
75,4,Sunny,Urban,Public Interaction
65,5,Sunny,Rural,Meditation
65,13,Cloudy,Rural,Meditation
61,7,Rainy,Urban,Public Interaction
93,13,Snowy,Rural,Reflection
61,10,Snowy,Urban,Public Interaction
90,11,Sunny,Suburban,Meditation
88,13,Sunny,Suburban,Meditation
54,6,Cloudy,Urban,Public Interaction
72,4,Snowy,Rural,Meditation
66,7,Sunny,Suburban,Meditation
57,7,Rainy,Urban,Public Interaction
93,13,Snowy,Urban,Public Interaction
80,6,Snowy,Urban,Public Interaction
61,6,Sunny,Urban,Public Interaction
59,6,Cloudy,Urban,Public Interaction
98,5,Sunny,Suburban,Meditation
76,9,Sunny,Urban,Public Interaction
50,13,Sunny,Suburban,Meditation
76,5,Sunny,Urban,Public Interaction
99,4,Sunny,Urban,Public Interaction
74,8,Rainy,Suburban,Walk
98,11,Sunny,Suburban,Reflection
76,8,Rainy,Urban,Public Interaction
76,4,Cloudy,Urban,Public Interaction
85,9,Sunny,Rural,Meditation
65,7,Rainy,Urban,Public Interaction
91,6,Cloudy,Suburban,Meditation
52,9,Sunny,Rural,Meditation
74,4,Sunny,Urban,Public Interaction
70,10,Snowy,Urban,Public Interaction
52,7,Sunny,Suburban,Meditation
88,11,Cloudy,Suburban,Meditation
95,6,Sunny,Rural,Meditation
52,10,Cloudy,Urban,Public Interaction
62,6,Sunny,Suburban,Meditation
70,12,Rainy,Rural,Walk
59,4,Cloudy,Urban,Public Interaction
109,5,Snowy,Rural,Meditation
107,6,Cloudy,Suburban,Meditation
76,11,Rainy,Urban,Public Interaction
90,10,Sunny,Suburban,Meditation
59,5,Rainy,Urban,Public Interaction
65,8,Sunny,Suburban,Meditation
79,10,Snowy,Rural,Meditation
66,10,Sunny,Suburban,Meditation
109,13,Sunny,Rural,Reflection
95,9,Sunny,Rural,Meditation
59,8,Rainy,Urban,Public Interaction
82,9,Sunny,Suburban,Meditation
84,6,Sunny,Suburban,Meditation
76,8,Snowy,Rural,Meditation
101,9,Sunny,Urban,Public Interaction
60,6,Cloudy,Suburban,Meditation
55,9,Cloudy,Urban,Public Interaction
99,5,Cloudy,Urban,Public Interaction
89,6,Rainy,Urban,Public Interaction
100,12,Rainy,Suburban,Walk
88,13,Sunny,Suburban,Meditation
104,11,Sunny,Suburban,Reflection
82,8,Sunny,Rural,Meditation
95,6,Sunny,Urban,Public Interaction
94,8,Cloudy,Rural,Meditation
82,6,Snowy,Urban,Public Interaction
60,9,Cloudy,Suburban,Meditation
67,5,Sunny,Urban,Public Interaction
59,7,Snowy,Suburban,Meditation
99,6,Snowy,Urban,Public Interaction
73,10,Rainy,Rural,Walk
73,5,Sunny,Suburban,Meditation
74,6,Sunny,Rural,Meditation
102,7,Sunny,Urban,Public Interaction
50,6,Sunny,Rural,Meditation
72,6,Sunny,Suburban,Meditation
95,12,Sunny,Rural,Reflection
55,4,Rainy,Rural,Walk
98,8,Sunny,Urban,Public Interaction
78,7,Sunny,Rural,Meditation
81,12,Sunny,Rural,Meditation
85,6,Snowy,Suburban,Meditation
76,11,Sunny,Urban,Public Interaction
68,13,Sunny,Rural,Meditation
82,12,Sunny,Urban,Public Interaction
53,6,Sunny,Rural,Meditation
62,8,Cloudy,Rural,Meditation
104,8,Snowy,Suburban,Meditation
68,5,Snowy,Suburban,Meditation
72,5,Cloudy,Rural,Meditation
68,12,Sunny,Suburban,Meditation
109,5,Cloudy,Suburban,Meditation
96,9,Rainy,Suburban,Walk
107,8,Sunny,Urban,Public Interaction
57,10,Sunny,Suburban,Meditation
106,8,Sunny,Urban,Public Interaction
102,10,Sunny,Suburban,Meditation
90,10,Snowy,Urban,Public Interaction
78,8,Cloudy,Rural,Meditation
51,7,Cloudy,Suburban,Meditation
89,9,Cloudy,Suburban,Meditation
67,10,Cloudy,Urban,Public Interaction
53,4,Rainy,Urban,Public Interaction
82,12,Sunny,Urban,Public Interaction
56,9,Sunny,Rural,Meditation
68,5,Sunny,Suburban,Meditation
105,8,Sunny,Urban,Public Interaction
80,9,Rainy,Suburban,Walk
103,11,Sunny,Rural,Reflection
64,10,Sunny,Suburban,Meditation
66,7,Sunny,Rural,Meditation
72,5,Sunny,Suburban,Meditation
102,7,Rainy,Urban,Public Interaction
84,8,Snowy,Rural,Meditation
79,11,Cloudy,Rural,Meditation
78,12,Rainy,Suburban,Walk
69,10,Cloudy,Rural,Meditation
93,12,Rainy,Rural,Walk
105,6,Sunny,Suburban,Meditation
80,5,Cloudy,Urban,Public Interaction
103,13,Rainy,Rural,Walk
69,7,Rainy,Suburban,Walk
87,11,Cloudy,Rural,Meditation
88,6,Snowy,Suburban,Meditation
103,5,Sunny,Suburban,Meditation
77,7,Sunny,Rural,Meditation
94,11,Sunny,Rural,Reflection
103,9,Snowy,Urban,Public Interaction
86,13,Sunny,Rural,Meditation
91,13,Cloudy,Rural,Reflection
78,13,Sunny,Suburban,Meditation
101,13,Sunny,Urban,Public Interaction
79,5,Sunny,Urban,Public Interaction
99,10,Rainy,Urban,Public Interaction
107,6,Sunny,Suburban,Meditation
83,11,Cloudy,Urban,Public Interaction
69,8,Sunny,Urban,Public Interaction
93,10,Sunny,Urban,Public Interaction
102,8,Cloudy,Urban,Public Interaction
81,13,Sunny,Suburban,Meditation
107,6,Sunny,Suburban,Meditation
83,13,Rainy,Urban,Public Interaction
56,5,Cloudy,Urban,Public Interaction
63,9,Cloudy,Suburban,Meditation
76,13,Snowy,Rural,Meditation
66,4,Snowy,Rural,Meditation
108,4,Snowy,Urban,Public Interaction
79,7,Sunny,Urban,Public Interaction
72,10,Sunny,Rural,Meditation
90,7,Cloudy,Urban,Public Interaction
63,4,Sunny,Urban,Public Interaction
82,10,Sunny,Rural,Meditation
79,11,Sunny,Rural,Meditation
57,10,Sunny,Urban,Public Interaction
88,10,Sunny,Suburban,Meditation
51,12,Sunny,Suburban,Meditation
83,12,Rainy,Urban,Public Interaction
98,7,Snowy,Suburban,Meditation
96,10,Rainy,Urban,Public Interaction
63,11,Cloudy,Urban,Public Interaction
99,9,Rainy,Urban,Public Interaction
65,8,Snowy,Suburban,Meditation
51,4,Rainy,Suburban,Walk
75,5,Cloudy,Suburban,Meditation
82,4,Sunny,Urban,Public Interaction
60,13,Cloudy,Rural,Meditation
67,11,Snowy,Rural,Meditation
96,13,Rainy,Suburban,Walk
108,5,Sunny,Rural,Meditation
92,5,Rainy,Suburban,Walk
83,11,Rainy,Urban,Public Interaction
55,5,Rainy,Suburban,Walk
99,13,Sunny,Urban,Public Interaction
93,5,Sunny,Suburban,Meditation
55,13,Cloudy,Rural,Meditation
80,9,Sunny,Urban,Public Interaction
61,9,Sunny,Rural,Meditation
89,6,Rainy,Urban,Public Interaction
91,7,Rainy,Suburban,Walk
